municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Arganda del Rey,Delitos contra la libertad sexual,2026,Q2,2,4.59433106965061,Gradient Boosting,Estándar
Arganda del Rey,Delitos contra la libertad sexual,2026,Q3,3,4.59433106965061,Gradient Boosting,Estándar
Arganda del Rey,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,9.598822514268532,Gradient Boosting,Estándar
Arganda del Rey,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,11.626204420619878,Gradient Boosting,Estándar
Arganda del Rey,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,9.463030362595235,Gradient Boosting,Estándar
Arganda del Rey,Estafas informáticas,2026,Q1,1,154.3500214349224,Gradient Boosting,Estándar
Arganda del Rey,Estafas informáticas,2026,Q2,2,154.3500214349224,Gradient Boosting,Estándar
Arganda del Rey,Estafas informáticas,2026,Q3,3,163.92831157983485,Gradient Boosting,Estándar
Arganda del Rey,Homicidios dolosos y asesinatos consumados,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Arganda del Rey,Homicidios dolosos y asesinatos consumados,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Arganda del Rey,Homicidios dolosos y asesinatos consumados,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
